,ghi,t_air,e,tp,windspeed
2022-01-01 00:00:00,0.0,16.367828,-0.0070794486,1.1641532e-07,2.1189256
2022-01-01 01:00:00,0.0,16.34314,-0.01691388,1.1641532e-07,2.428958
2022-01-01 02:00:00,0.0,15.45224,-0.024290973,1.1641532e-07,2.7907236
2022-01-01 03:00:00,0.0,14.470856,-0.030382872,1.1641532e-07,2.955633
2022-01-01 04:00:00,0.0,13.556549,-0.036084063,1.1641532e-07,2.9250069
2022-01-01 05:00:00,0.0,12.618835,-0.038721308,1.1641532e-07,2.9693437
2022-01-01 06:00:00,0.0,12.188568,-0.04064398,1.1641532e-07,3.0655637
2022-01-01 07:00:00,0.0,11.751984,-0.042227358,1.1641532e-07,3.0952861
2022-01-01 08:00:00,7.099375,11.899414,-0.04613954,1.1641532e-07,2.98771
2022-01-01 09:00:00,131.8208,14.633484,-0.046751294,1.1641532e-07,2.5345984
2022-01-01 10:00:00,318.49188,17.988892,-0.051707067,1.1641532e-07,1.7210242
2022-01-01 11:00:00,479.39014,20.774231,-0.05647262,1.1641532e-07,0.74802303
2022-01-01 12:00:00,587.8257,22.283936,-0.050231647,1.1641532e-07,1.0864105
2022-01-01 13:00:00,635.40265,22.909088,-0.047738336,1.1641532e-07,2.2089868
2022-01-01 14:00:00,614.18353,23.23114,-0.052766073,1.1641532e-07,3.5901766
2022-01-01 15:00:00,527.4098,22.819244,-0.054272342,1.1641532e-07,4.7636366
2022-01-01 16:00:00,384.07816,21.753082,-0.049625028,1.1641532e-07,4.9312077
2022-01-01 17:00:00,202.34027,20.67804,-0.04142539,1.1641532e-07,3.8313835
2022-01-01 18:00:00,35.512707,18.724152,-0.029215895,1.1641532e-07,2.2351727
2022-01-01 19:00:00,0.0,19.34549,-0.016805919,1.1641532e-07,1.0113981
2022-01-01 20:00:00,0.0,18.098999,-0.011562268,1.1641532e-07,0.69540364
2022-01-01 21:00:00,0.0,15.981232,-0.0087553635,1.1641532e-07,1.4309281
2022-01-01 22:00:00,0.0,14.296234,-0.0082721235,1.1641532e-07,1.592584
2022-01-01 23:00:00,0.0,13.853943,-0.009387688,1.1641532e-07,1.6757635
2022-01-02 00:00:00,0.0,13.827362,-0.008673117,1.1641532e-07,1.8874745
2022-01-02 01:00:00,0.0,13.448364,-0.0095521975,1.1641532e-07,2.2677777
2022-01-02 02:00:00,0.0,12.335999,-0.013505502,1.1641532e-07,2.5582664
2022-01-02 03:00:00,0.0,11.672272,-0.017957456,1.1641532e-07,2.823777
2022-01-02 04:00:00,0.0,11.044586,-0.021751402,1.1641532e-07,3.0305357
2022-01-02 05:00:00,0.0,10.707336,-0.028033508,1.1641532e-07,3.162966
