soil_depth,soil organic carbon [dg/kg],bulk density [cg/cm³],cation exchange capacity at pH 7 [mmol(c)/kg],nitrogen content [cg/kg],pH of soil water [pH*10],clay content [g/kg],silt content [g/kg],sand content [g/kg],soil texture
0-5cm,319,146,192,2215,58,219,258,219,Sandy Loam
100-200cm,36,160,118,484,55,203,225,203,Sandy Loam
15-30cm,138,151,133,1094,53,225,213,225,Sandy Loam
30-60cm,89,157,120,850,54,201,215,201,Sandy Loam
5-15cm,143,152,138,1483,59,245,261,245,Sandy Loam
60-100cm,52,159,116,528,54,198,215,198,Sandy Loam
