,ghi,t_air,e,tp,windspeed
2022-01-01 00:00:00,0.09972222,26.494812,-0.03578198,0.75519365,0.97473514
2022-01-01 01:00:00,3.4722223e-05,26.293396,-0.023573332,0.14339574,0.45877343
2022-01-01 02:00:00,3.4722223e-05,26.173248,-0.020033257,0.041020103,0.90518606
2022-01-01 03:00:00,3.4722223e-05,26.003113,-0.020260952,0.4428085,0.6529405
2022-01-01 04:00:00,3.4722223e-05,26.241852,-0.02026638,0.16302896,0.70657927
2022-01-01 05:00:00,3.4722223e-05,25.929596,-0.025085872,0.03470946,0.95286155
2022-01-01 06:00:00,3.4722223e-05,25.636383,-0.032502126,0.11674967,1.1197346
2022-01-01 07:00:00,3.4722223e-05,25.871002,-0.042558547,0.1321761,1.5757734
2022-01-01 08:00:00,3.4722223e-05,25.238678,-0.05086389,0.37479216,1.6158085
2022-01-01 09:00:00,3.4722223e-05,25.01065,-0.05037598,0.18371455,1.3233926
2022-01-01 10:00:00,3.4722223e-05,24.808716,-0.049915165,0.35200268,1.574277
2022-01-01 11:00:00,3.4722223e-05,24.838318,-0.053097434,0.5679736,1.2210199
2022-01-01 12:00:00,11.054063,24.661072,-0.05838857,0.8859681,1.6579899
2022-01-01 13:00:00,77.77719,24.801971,-0.07592089,0.61074644,1.8656665
2022-01-01 14:00:00,184.24356,25.760956,-0.10511971,0.36146957,2.3761458
2022-01-01 15:00:00,213.67352,25.662994,-0.113885865,0.20089373,2.3962855
2022-01-01 16:00:00,226.23753,25.967712,-0.11768615,0.09676535,2.0288205
2022-01-01 17:00:00,337.31927,26.778687,-0.13449201,0.1034271,1.597217
2022-01-01 18:00:00,527.8591,27.14978,-0.19120908,0.14655106,1.1467382
2022-01-01 19:00:00,453.68588,27.44159,-0.16654783,0.11674967,0.62052536
2022-01-01 20:00:00,462.6459,27.59607,-0.16127297,0.14690123,0.87188053
2022-01-01 21:00:00,195.76768,27.533112,-0.10141157,0.48978907,0.95122296
2022-01-01 22:00:00,132.13573,27.020416,-0.07465774,0.8011227,0.61931425
2022-01-01 23:00:00,41.766075,26.828766,-0.048906818,0.5599093,0.22565061
2022-01-02 00:00:00,0.07125,26.537048,-0.034551356,0.5539488,0.7310017
2022-01-02 01:00:00,3.4722223e-05,26.507446,-0.037928797,0.22333302,0.86745477
2022-01-02 02:00:00,3.4722223e-05,26.200806,-0.037083082,0.15461445,0.8992386
2022-01-02 03:00:00,3.4722223e-05,25.85852,-0.039170265,0.30817837,0.95442224
2022-01-02 04:00:00,3.4722223e-05,25.485748,-0.038882937,0.62231624,1.0939549
