datetime,drinking_water_demand,service_water_demand,electricity_demand,cooking_energy_demand
01/01/2018 00:00,0,0,7.351924283,0
01/01/2018 01:00,0,0,20.1177736,0
01/01/2018 02:00,0,0,29.82278188,0
01/01/2018 03:00,0,0,37.26026222,0
01/01/2018 04:00,0,0,41.01162192,0.008000583
01/01/2018 05:00,4.645833333,0,49.32355712,0.1020003
01/01/2018 06:00,4.745830333,0,58.02410175,0.070000833
01/01/2018 07:00,3.579185667,6.379165,56.53451197,0.000002
01/01/2018 08:00,3.862518,11.41150233,56.04273545,3.16667E-07
01/01/2018 09:00,0,9.707638667,51.5977415,10.1277443
01/01/2018 10:00,4.187628,0,54.8494052,148.0509513
01/01/2018 11:00,4.154288667,0,55.601065,282.3608033
01/01/2018 12:00,3.462524,0,56.44356625,129.6270706
01/01/2018 13:00,0,0,57.73774318,7.60446175
01/01/2018 14:00,0,10.188388,67.57700343,0
01/01/2018 15:00,0,9.607593667,65.85533417,0
01/01/2018 16:00,0.050118,10.46332,52.73441377,6.401629383
01/01/2018 17:00,0.00012,8.115335667,46.70275222,125.5165728
01/01/2018 18:00,0.0126,0,50.1365011,291.9845839
01/01/2018 19:00,0.0126,0,59.25192822,142.9784325
01/01/2018 20:00,0.0126,0,68.68483188,9.8905325
01/01/2018 21:00,0.0126,0,70.90248485,0
01/01/2018 22:00,0.0126,0,60.83392722,0
01/01/2018 23:00,0,0,23.80252083,0
02/01/2018 00:00,0,0,10.10859198,0
02/01/2018 01:00,0,0,28.22276207,0
02/01/2018 02:00,0,0,38.3519285,0
02/01/2018 03:00,0,0,43.89025153,0
02/01/2018 04:00,0,0,49.79326912,0.019000467
02/01/2018 05:00,4.412508,0,56.26821458,0.060001
02/01/2018 06:00,3.679185667,0,61.03402043,0.04500125
02/01/2018 07:00,4.279170667,7.668017667,57.26293343,0.056001067
02/01/2018 08:00,5.379155667,9.153624,53.95190998,6.33333E-07
02/01/2018 09:00,0,9.341905333,56.32190638,8.02689745
02/01/2018 10:00,4.087628,0,53.45107223,133.3204572
02/01/2018 11:00,3.062645,0,50.9169127,294.6201636
02/01/2018 12:00,3.762514,0,54.05774238,133.385985
02/01/2018 13:00,0,0,54.72857138,6.92584175
