Date & Time,pressure,inner temperature,internal humidity,internal dew point,internal heat index,internal EMC,t_air_is,high temperature,low temperature,humidity,dew point,wet bulb,windspeed_is,wind direction,Wind Run,high wind speed,prevalent win speed,wind coldness,heat index,THW Index,THSW Index,tp_is,rain rate,ghi_is,solar energy,high solar irradiance,e_is,UV-Index,UV-Dosis - MEDs,High UV-Index,heat days,cold days
5/29/2022 15:30,29.71,77,71,67,78,13.2,68,69,68,98,68,68,2,NW,1,5,WSW,68,71,71,70,0.02,0.13,13,0.56,26,0,0,0,0,0,0.067
5/29/2022 16:00,29.72,76,73,67,77,13.7,67,68,67,98,67,67,8,W,4,18,WSW,67,70,69,68,0.45,7.29,6,0.26,12,0,0,0,0,0,0.048
5/29/2022 16:30,29.73,75,74,66,76,14.1,67,67,67,99,67,67,5,W,2.5,13,WNW,67,70,70,69,0.56,2.72,20,0.86,25,0,0,0,0,0,0.046
5/29/2022 17:00,29.74,74,74,66,76,14.1,67,67,67,99,67,67,3,W,1.5,6,WSW,67,70,70,69,0.35,1.75,15,0.65,23,0,0,0,0,0,0.048
5/29/2022 17:30,29.76,74,74,65,76,14.1,67,67,67,99,67,67,2,E,1,5,W,67,69,69,67,0.16,1.08,2,0.09,9,0,0,0,0,0,0.04
5/29/2022 18:00,29.77,74,74,65,75,14.1,67,67,67,99,67,67,2,WSW,1,5,WSW,67,69,69,67,0.1,0.39,0,0,0,0,0,0,0,0,0.038
5/29/2022 18:30,29.78,74,74,65,75,14.1,66,67,66,99,66,66,1,WNW,0.5,5,W,66,69,69,67,0.09,0.31,0,0,0,0,0,0,0,0,0.031
5/29/2022 19:00,29.78,73,75,65,75,14.4,66,66,66,97,66,66,4,W,2,11,W,66,68,68,66,0.07,0.31,0,0,0,0,0,0,0,0,0.029
5/29/2022 19:30,29.8,73,75,64,74,14.4,66,67,66,98,65,66,2,W,1,10,W,66,68,68,66,0.03,0.09,0,0,0,0,0,0,0,0,0.021
5/29/2022 20:00,29.79,72,75,64,74,14.4,66,66,66,99,66,66,0,,0,2,WSW,66,68,68,66,0.01,0.04,0,0,0,0,0,0,0,0,0.019
5/29/2022 20:30,29.8,72,75,64,73,14.4,66,66,66,99,65,65,1,SE,0.5,4,SE,66,68,68,66,0,0,0,0,0,0,0,0,0,0,0.015
5/29/2022 21:00,29.8,72,75,64,73,14.4,66,66,65,99,65,65,3,SE,1.5,5,SE,66,68,68,65,0,0,0,0,0,0,0,0,0,0,0.012
5/29/2022 21:30,29.8,72,75,63,73,14.4,66,66,66,98,65,66,2,SSE,1,6,SSE,66,68,68,66,0,0,0,0,0,0,0,0,0,0,0.021
5/29/2022 22:00,29.81,72,75,63,72,14.4,66,66,66,97,65,65,2,SSE,1,4,SSE,66,68,68,66,0,0,0,0,0,0,0,0,0,0,0.023
5/29/2022 22:30,29.82,71,76,63,72,14.7,66,66,66,96,65,65,3,SSE,1.5,6,SSE,66,68,68,66,0,0,0,0,0,0,0,0,0,0,0.023
5/29/2022 23:00,29.82,71,76,63,72,14.7,66,66,66,97,65,65,1,SSE,0.5,3,SSE,66,68,68,65,0,0,0,0,0,0,0,0,0,0,0.017
5/29/2022 23:30,29.82,71,76,63,72,14.7,66,66,66,97,65,65,0,,0,2,SSE,66,68,68,65,0.01,0,0,0,0,0,0,0,0,0,0.017
5/30/2022 0:00,29.82,71,76,63,72,14.7,65,66,65,98,65,65,0,,0,4,NE,65,67,67,65,0,0,0,0,0,0,0,0,0,0,0.004
5/30/2022 0:30,29.81,71,76,63,72,14.7,65,65,65,99,65,65,0,,0,2,NE,65,67,67,65,0,0,0,0,0,0,0,0,0,0,0.002
5/30/2022 1:00,29.8,70,76,63,71,14.7,65,65,65,99,65,65,0,,0,1,NE,65,67,67,65,0,0,0,0,0,0,0,0,0,0,0
5/30/2022 1:30,29.79,70,76,62,71,14.7,65,65,65,98,64,64,1,SSE,0.5,4,SSE,65,67,67,64,0,0,0,0,0,0,0,0,0,0.002,0
5/30/2022 2:00,29.78,70,76,62,71,14.7,65,65,65,98,65,65,0,,0,2,SSE,65,67,67,65,0,0,0,0,0,0,0,0,0,0,0.004
5/30/2022 2:30,29.78,70,76,62,71,14.7,65,65,65,97,64,65,1,SSE,0.5,2,SSE,65,67,67,65,0,0,0,0,0,0,0,0,0,0,0.006
