longitude,latitude,time,fdir,ssrd,t2m,u10,v10,t_air,dirhi,ghi,dhi
-83.5,9.75,2017-01-01 00:00:00,4404.25,18291.75,289.07452,-0.5818052,-0.30536908,15.92453,1.2234027,5.081042,3.857639
-83.5,9.75,2017-01-01 01:00:00,0.0,-0.125,288.6625,-0.9406628,-0.2517453,15.512512,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 02:00:00,0.0,-0.125,288.4722,-0.94187415,-0.18264478,15.322205,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 03:00:00,0.0,-0.125,288.58383,-0.93460613,0.0051836967,15.433838,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 04:00:00,0.0,-0.125,288.53894,-0.78371936,0.42349264,15.388947,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 05:00:00,0.0,-0.125,288.52042,-0.68537426,0.43555436,15.370422,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 06:00:00,0.0,-0.125,288.09518,-0.5597741,0.5277611,14.94519,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 07:00:00,0.0,-0.125,287.63416,-0.23566663,0.8627279,14.484161,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 08:00:00,0.0,-0.125,287.17087,0.037867606,0.92914,14.020874,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 09:00:00,0.0,-0.125,287.11786,0.067166746,0.8510295,13.967865,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 10:00:00,0.0,-0.125,287.39642,0.33275157,0.74291,14.246429,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 11:00:00,0.0,-0.125,287.0775,0.26779383,0.67744255,13.927521,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-01 12:00:00,0.0,1172.375,287.469,0.35614544,0.8460158,14.319,0.0,0.32565972,0.32565972
-83.5,9.75,2017-01-01 13:00:00,54975.625,214987.62,288.6044,-0.33726725,0.19352081,15.454407,15.271007,59.718784,44.447777
-83.5,9.75,2017-01-01 14:00:00,368662.88,785435.0,291.19968,-1.2783978,-0.64193445,18.049683,102.40636,218.17639,115.770035
-83.5,9.75,2017-01-01 15:00:00,749398.5,1221683.5,291.28418,-1.8490114,-1.2768456,18.134186,208.16624,339.35654,131.19029
-83.5,9.75,2017-01-01 16:00:00,1076039.5,1608860.8,291.01904,-2.1731946,-1.3928851,17.86905,298.89987,446.90576,148.00589
-83.5,9.75,2017-01-01 17:00:00,1324802.6,1907099.9,292.9567,-1.8455288,-1.4241294,19.806702,368.00073,529.74994,161.7492
-83.5,9.75,2017-01-01 18:00:00,831369.6,1494536.9,291.56708,-2.0276074,-1.2863642,18.417084,230.936,415.14914,184.21313
-83.5,9.75,2017-01-01 19:00:00,936968.4,1717967.0,292.63904,-2.181674,-1.4841472,19.489044,260.26898,477.21304,216.94406
-83.5,9.75,2017-01-01 20:00:00,698671.75,1523147.1,291.35596,-1.8822474,-1.5398055,18.205963,194.07549,423.09644,229.02095
-83.5,9.75,2017-01-01 21:00:00,268245.62,867162.0,292.22928,-1.7125094,-1.2388439,19.079285,74.51267,240.87833,166.36566
-83.5,9.75,2017-01-01 22:00:00,484520.88,899759.0,291.0591,-1.8668029,-0.96106124,17.909119,134.58913,249.93306,115.34393
-83.5,9.75,2017-01-01 23:00:00,42799.125,253740.5,288.84668,-1.2375909,-0.58518624,15.696686,11.888646,70.483475,58.59483
-83.5,9.75,2017-01-02 00:00:00,1399.0,16122.5,288.95352,-0.4809617,-0.15692282,15.803528,0.3886111,4.478472,4.089861
-83.5,9.75,2017-01-02 01:00:00,0.0,-0.125,288.70435,-0.5047341,-0.07576057,15.554352,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 02:00:00,0.0,-0.125,288.41257,-0.910758,-0.14813083,15.262573,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 03:00:00,0.0,-0.125,288.81827,-0.95830286,-0.073290095,15.668274,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 04:00:00,0.0,-0.125,289.16104,-0.86707425,-0.21468824,16.011047,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 05:00:00,0.0,-0.125,289.44522,-0.64100915,-0.47365177,16.295227,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 06:00:00,0.0,-0.125,289.41223,-0.75146765,-0.45199883,16.262238,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 07:00:00,0.0,-0.125,289.35135,-0.3558915,-0.09247258,16.201355,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 08:00:00,0.0,-0.125,289.36072,-0.4012408,-0.20589627,16.210724,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 09:00:00,0.0,-0.125,288.95172,-0.77629995,-0.33225363,15.801727,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 10:00:00,0.0,-0.125,288.4481,-0.3739101,-0.22885713,15.298096,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 11:00:00,0.0,-0.125,288.7612,-0.47929612,-0.407821,15.611206,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-02 12:00:00,0.0,703.375,288.47348,-0.4982989,-0.25712222,15.323486,0.0,0.19538194,0.19538194
-83.5,9.75,2017-01-02 13:00:00,61711.5,170606.5,289.45105,-0.9813182,-0.44938302,16.301056,17.142084,47.390694,30.24861
-83.5,9.75,2017-01-02 14:00:00,423534.75,739177.75,290.66864,-1.5625312,-0.8286004,17.518646,117.648544,205.32715,87.678604
-83.5,9.75,2017-01-02 15:00:00,854375.44,1215469.0,290.66486,-2.029803,-1.3416592,17.514862,237.3265,337.63028,100.30377
-83.5,9.75,2017-01-02 16:00:00,1314284.2,1777650.0,290.94165,-2.2289917,-1.6321576,17.791656,365.07895,493.79166,128.7127
-83.5,9.75,2017-01-02 17:00:00,973549.6,1650310.6,291.00305,-2.1573715,-1.6261994,17.853058,270.43045,458.41962,187.98917
-83.5,9.75,2017-01-02 18:00:00,1568695.2,2234125.0,291.72513,-2.271767,-1.6626024,18.575134,435.7487,620.5903,184.84158
-83.5,9.75,2017-01-02 19:00:00,1392680.1,2037253.4,291.56503,-2.4086475,-1.7390418,18.41504,386.8556,565.9037,179.0481
-83.5,9.75,2017-01-02 20:00:00,1602996.8,2162599.2,291.62643,-2.3439927,-1.7997863,18.47644,445.2769,600.722,155.4451
-83.5,9.75,2017-01-02 21:00:00,983705.4,1467333.6,291.73984,-2.1874278,-1.4215136,18.589844,273.2515,407.59268,134.34119
-83.5,9.75,2017-01-02 22:00:00,867640.06,1196239.2,291.38184,-2.000201,-1.3710142,18.231842,241.01112,332.28867,91.27754
-83.5,9.75,2017-01-02 23:00:00,259281.62,430913.38,290.6207,-1.6449776,-1.1210606,17.470703,72.022675,119.69816,47.675484
-83.5,9.75,2017-01-03 00:00:00,8342.25,24858.0,289.92957,-0.93755877,-0.46587706,16.779572,2.3172917,6.905,4.5877085
-83.5,9.75,2017-01-03 01:00:00,0.0,-0.125,289.4995,-0.84405893,-0.16695002,16.349518,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 02:00:00,0.0,-0.125,289.01236,-0.55280894,0.22825274,15.862366,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 03:00:00,0.0,-0.125,289.16486,0.19662803,0.8261068,16.014862,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 04:00:00,0.0,-0.125,287.7529,0.3481204,0.70316446,14.602905,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 05:00:00,0.0,-0.125,287.0968,0.34448642,0.75925875,13.946808,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 06:00:00,0.0,-0.125,286.91614,0.37234706,0.7939906,13.766144,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 07:00:00,0.0,-0.125,286.54572,0.40588588,0.7646357,13.395721,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 08:00:00,0.0,-0.125,286.39502,0.38468748,0.73462665,13.245026,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 09:00:00,0.0,-0.125,286.36252,0.34327513,0.73637056,13.212524,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 10:00:00,0.0,-0.125,285.28754,0.32480222,0.4973161,12.137543,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 11:00:00,0.0,-0.125,284.96124,0.34433502,0.61611676,11.811249,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-03 12:00:00,103.625,1172.375,284.49084,0.37158996,0.6560075,11.340851,0.028784722,0.32565972,0.296875
-83.5,9.75,2017-01-03 13:00:00,219798.75,347134.38,287.57428,0.3460763,0.5309582,14.424286,61.05521,96.426216,35.371006
-83.5,9.75,2017-01-03 14:00:00,911423.6,1153147.8,290.97693,-0.706724,-0.47568628,17.826935,253.17323,320.31882,67.145584
-83.5,9.75,2017-01-03 15:00:00,1579783.6,1949546.2,291.4293,-1.1561288,-0.98067963,18.279297,438.8288,541.54065,102.71185
-83.5,9.75,2017-01-03 16:00:00,1812225.1,2211729.2,291.55692,-1.3746988,-1.4886522,18.406921,503.39587,614.36926,110.97339
-83.5,9.75,2017-01-03 17:00:00,2078864.5,2620305.8,291.4463,-1.5925874,-1.7846729,18.296295,577.46234,727.86273,150.40039
-83.5,9.75,2017-01-03 18:00:00,1821551.9,2464356.0,291.83347,-1.821908,-1.7941188,18.683472,505.98663,684.54333,178.5567
-83.5,9.75,2017-01-03 19:00:00,2125549.8,2758139.5,292.22977,-1.8726325,-1.5800596,19.079773,590.4305,766.14984,175.71936
-83.5,9.75,2017-01-03 20:00:00,1992178.2,2509499.2,292.7565,-1.9601514,-1.6769893,19.606506,553.3829,697.0831,143.70026
-83.5,9.75,2017-01-03 21:00:00,1259516.0,1663150.0,292.6705,-1.7776942,-1.8267435,19.520508,349.86557,461.9861,112.120544
-83.5,9.75,2017-01-03 22:00:00,956088.06,1266240.6,290.6288,-1.9254012,-1.4452736,17.47882,265.58002,351.73352,86.1535
-83.5,9.75,2017-01-03 23:00:00,372652.62,555438.6,290.08484,-1.2494771,-1.074485,16.934845,103.51462,154.28851,50.773895
-83.5,9.75,2017-01-04 00:00:00,11140.25,28786.125,288.424,-0.7459409,-0.799754,15.274017,3.094514,7.9961457,4.901632
-83.5,9.75,2017-01-04 01:00:00,0.0,-0.125,288.75714,-0.6647816,-0.3932888,15.607147,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 02:00:00,0.0,-0.125,287.53952,-0.1978125,0.869122,14.389526,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 03:00:00,0.0,-0.125,286.48914,0.35894674,0.75511706,13.339142,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 04:00:00,0.0,-0.125,286.76086,0.44313437,0.8529186,13.61087,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 05:00:00,0.0,-0.125,286.1796,0.48182136,0.81113863,13.029602,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 06:00:00,0.0,-0.125,286.18848,0.44866115,0.7556257,13.038483,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 07:00:00,0.0,-0.125,286.2207,0.42882556,0.7437093,13.070709,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 08:00:00,0.0,-0.125,287.39972,0.40649158,0.82930386,14.249725,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 09:00:00,0.0,-0.125,288.13855,0.41012555,0.8075782,14.988556,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 10:00:00,0.0,-0.125,286.88165,0.43987888,0.71653414,13.731659,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 11:00:00,0.0,-0.125,287.3343,0.3840819,0.85742366,14.184296,0.0,-3.4722223e-05,-3.4722223e-05
-83.5,9.75,2017-01-04 12:00:00,103.625,937.875,287.73996,0.39210695,0.90000296,14.589966,0.028784722,0.26052085,0.23173612
-83.5,9.75,2017-01-04 13:00:00,215239.0,331832.62,288.34485,0.4214818,0.8245082,15.194855,59.788612,92.17573,32.387115
-83.5,9.75,2017-01-04 14:00:00,968212.7,1212186.0,291.97098,-0.76789635,-0.14028347,18.820984,268.94797,336.71832,67.770355
-83.5,9.75,2017-01-04 15:00:00,1740202.5,2047689.0,292.05853,-1.4965892,-0.9149215,18.908539,483.3896,568.8025,85.4129
-83.5,9.75,2017-01-04 16:00:00,2426283.2,2756732.2,292.62,-1.8560524,-1.28106,19.470001,673.9676,765.759,91.79138
-83.5,9.75,2017-01-04 17:00:00,2837641.5,3197085.0,293.661,-1.9848323,-1.5505593,20.511017,788.23376,888.07916,99.8454
-83.5,9.75,2017-01-04 18:00:00,2996661.5,3367691.5,294.26385,-2.0658402,-1.6461084,21.113861,832.40594,935.46985,103.0639
-83.5,9.75,2017-01-04 19:00:00,2646082.0,3126555.8,294.38995,-2.1080098,-1.7277067,21.23996,735.02277,868.48773,133.46497
-83.5,9.75,2017-01-04 20:00:00,2380789.8,2791557.0,293.70032,-2.0229893,-1.8444728,20.550323,661.3305,775.4325,114.10199
-83.5,9.75,2017-01-04 21:00:00,1686418.6,2081282.8,293.4423,-1.8222864,-1.8327017,20.292297,468.44962,578.1341,109.68448
